,Style,Category,Artist,Title,Year,Is painting,Face or body,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral,withChrist
2378,Contemporary Art,Minimalism,Francois Morellet,32 rectangles,1953,yes,none,0.2,0.1,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,no
2383,Contemporary Art,Minimalism,Herbert Zangs,gro&#223;e kn&#252;pfung,1953,no,none,-0.9,0.1,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.3,0.1,0.1,no
2389,Contemporary Art,Minimalism,Herbert Zangs,untitled,1953,yes,none,0.2,0.0,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,no
2439,Contemporary Art,Minimalism,Herbert Zangs,peinture-relief,1955,yes,none,-0.8,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1,no
2443,Contemporary Art,Minimalism,Myron Stout,untitled,1955,yes,none,-0.2,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,no
2452,Contemporary Art,Minimalism,Herbert Zangs,folding,1955,yes,none,0.08,0.0,0.0,0.16699999999999998,0.0,0.083,0.33299999999999996,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.25,0.083,0.083,no
2461,Contemporary Art,Minimalism,Myron Stout,untitled #5 (2-17-55),1955,yes,none,-0.63,0.0,0.03,0.134,0.0,0.03,0.10400000000000001,0.11900000000000001,0.0,0.045,0.09,0.0,0.06,0.045,0.0,0.134,0.015,0.045,0.478,0.03,0.06,no
2471,Contemporary Art,Minimalism,Robert Ryman,untitled (orange painting),1955,yes,none,0.09,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.091,0.091,0.0,0.273,0.091,0.091,0.182,0.0,0.0,0.273,0.091,0.091,no
2488,Contemporary Art,Minimalism,Yves Klein,untitled pink monochrome,1956,yes,none,-1.1,0.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,no
2543,Contemporary Art,Minimalism,Yves Klein,untitled white monochrome,1957,yes,none,-0.27,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.091,0.091,0.273,0.0,0.091,0.0,0.0,0.0,0.0,0.091,0.273,0.0,0.091,no
2577,Contemporary Art,Minimalism,Herbert Zangs,untitled,1958,yes,none,0.09,0.0,0.0,0.364,0.0,0.091,0.091,0.182,0.0,0.0,0.091,0.0,0.091,0.0,0.0,0.182,0.0,0.0,0.455,0.182,0.0,no
2583,Contemporary Art,Minimalism,Piero Manzoni,achrome,1958,yes,none,-0.5,0.0,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,no
2614,Contemporary Art,Minimalism,Frank Stella,the marriage of reason and squalor,1959,yes,none,-0.67,0.0,0.083,0.16699999999999998,0.0,0.16699999999999998,0.16699999999999998,0.083,0.0,0.25,0.083,0.16699999999999998,0.083,0.16699999999999998,0.0,0.0,0.0,0.0,0.41700000000000004,0.0,0.0,no
2632,Contemporary Art,Minimalism,Frank Stella,die fahne hoch!,1959,yes,none,-0.09,0.0,0.091,0.182,0.091,0.182,0.091,0.091,0.091,0.091,0.091,0.0,0.0,0.091,0.0,0.091,0.0,0.091,0.545,0.091,0.0,no
2635,Contemporary Art,Minimalism,Antonio Calderara,spazio luce,1959,yes,none,0.07,0.0,0.0,0.28600000000000003,0.0,0.071,0.214,0.0,0.0,0.071,0.0,0.071,0.0,0.0,0.071,0.071,0.0,0.14300000000000002,0.28600000000000003,0.071,0.14300000000000002,no
